species;species_category
null;Unknown
Norovirus genogroup I;Virus
Salmonella enterica;Bacteria
Norovirus genogroup II;Virus
Norovirus unknown;Virus
Clostridium perfringens;Bacteria
Staphylococcus aureus;Bacteria
Escherichia coli, Shiga toxin-producing;Bacteria
Bacillus cereus;Bacteria
Scombroid toxin;Toxin
Norovirus;Virus
Campylobacter jejuni;Bacteria
Ciguatoxin;Toxin
Chemical or toxin;Toxin
Shigella sonnei;Bacteria
Bacterium;Bacteria
Vibrio parahaemolyticus;Bacteria
Virus;Virus
Campylobacter unknown;Bacteria
Hepatitis A;Virus
Clostridium botulinum;Bacteria
Listeria monocytogenes;Bacteria
Histamine;Other
Mycotoxins;Toxin
Salmonella unknown;Bacteria
Giardia intestinalis;Parasite
Escherichia coli, Enteropathogenic;Bacteria
Cyclospora cayatenensis;Parasite
Campylobacter;Bacteria
Paralytic shellfish poison;Toxin
Cryptosporidium parvum;Parasite
Trichinella spiralis;Parasite
Shigella unknown;Bacteria
Staphylococcus unknown;Bacteria
Unknown;Unknown
Yersinia enterocolitica;Bacteria
Shigella boydii;Bacteria
Shigella flexneri;Bacteria
Rotavirus;Virus
Cryptosporidium unknown;Parasite
Campylobacter coli;Bacteria
Heavy metals;Heavy metals
Cleaning agents;Chemicals
Vibrio cholerae;Bacteria
Neurotoxic shellfish poison;Toxin
Vibrio unknown;Bacteria
Campylobacter other;Bacteria
Vibrio other;Bacteria
Escherichia coli, Enterotoxigenic;Bacteria
Plant or herbal toxins;Toxin
Streptococcus group A;Bacteria
Brucella unknown;Bacteria
Escherichia coli;Bacteria
Salmonella other;Bacteria
Escherichia coli, Enteroaggregative;Bacteria
Sapovirus;Virus
Shigella;Bacteria
Salmonella;Bacteria
Pesticides;Chemicals
Puffer fish tetrodotoxin;Toxin
Cryptosporidium;Parasite
Trichinella unknown;Parasite
Parasite;Parasite
Norovirus other;Virus
Staphylococcus;Bacteria
Astrovirus;Virus
Campylobacter fetus;Bacteria
Staphylococcus other;Bacteria
Clostridium other;Bacteria
Monosodium glutamate (MSG);Chemicals
Listeria unknown;Bacteria
Sapovirus unknown;Virus
Norovirus genogroup IV;Virus
Trichinella;Parasite
Bacillus other;Bacteria
Bacillus unknown;Bacteria
Bacillus;Bacteria
Amnesic shellfish poison;Toxin
Shigella dysenteriae;Bacteria
Vibrio vulnificus;Bacteria
Enterococcus faecalis;Bacteria
Sapovirus genogroup I;Virus
Yersinia;Bacteria
Cryptosporidium hominis;Parasite
Anisakis;Parasite
